code,name,flag
ar,العربية,images/saudi_ara.png
en,english,images/pAqzwywspEYbgg1lXEAA3pimI6bC6mYqnaQcrctG.jpg
tr,Türk,images/AgaRQwdYljPPmQgxrhYPvwljJkk7ykK5sU9IZgzs.jpg
pt,Português,images/N10PXgDCS2Aa3xvHgrSvZEB9O3TBYNqaHpRCC9uV.jpg
ur,اردو,images/kJbBzPfGI7yXVNje7v11TWnCCLtxs58WBRkFZlm9.jpg
ru,русский روسي,images/IviCBMuPZiNgvdGtDZUGJDbQT3AlXpjhvfVaNeyC.jpg
hi,हिन्दी هندية,images/W0RXkyg1Gjs5GY7DUgtOXJALxWQQfzOaA7xHhOpt.jpg
fa,فارسى,images/OHFpF7EvGodCJcSbNO7TORkBbPx0Uw9lBFKNeUbk.jpg
id,Indonesia,images/JD6GLgXd7gzawAS7ia8uge59WIviqz2NUCwKqd3V.jpg
zh,中文,images/c9xbbIeMWPPCKNs8laW3iYHJyetXBijVT69uHkYE.jpg
bn,বাংলা ভাষা بنغالية,images/2HL010bq9OTVdNV0ZV3s2Esnw8FkrSsdCxlo2VOL.jpg
tgl,تجالوج,images/UhB6cbaOdh2o9WpzHs9SyTqIlMkqBGeET1MdWbxb.png
mal,الماليبارية,images/cWcT1kMTUCc2PLccmR8syITjqhTiKejiMnx27PIj.jpg
tel,التيلوغوية,images/qmfOkMKdRuCyfczuXQivH69xVTt85kOCU3afsfaO.jpg
tha,التايلاندية,images/QKkerQAk8TjwhgUwxpB8FL1iucPd0D2k2fgYzjGx.jpg
asm,الآسامية,images/ntgORUFMmnTK23AC8vErzQwwLbrbb6Lq4SVfAERe.jpg
