id,default_name,display_order,status,voice,background_image,image,color,page_id,created_at,updated_at
278,الله,1,1,voices/b55c6cd58707e564203fd1c03e6d580c.mp3,images/8cTuPujfvZY2ghSTiQXaa8ypp57Yb0QT7adgXpux.jpg,images/F0LUsnyCBUSP8B2nn61M5z4G911AgbFJPViWWTSG.svg,#441e33,10,2024-10-26T17:04:44.000000Z,2026-04-18T13:18:56.000000Z
279,الرحمن,2,1,voices/e30a2b3004b061855e4eca389a277198.mp3,images/Z9bhEJUh2NtYZwbyyoxdT6whtzgY25fxL9fCFMh7.jpg,images/Fu5HT4uq5TwFiOLOJp3ZMPRlHKQwVOxi8bQvFGKH.svg,#384a3e,12,2024-10-26T17:04:44.000000Z,2026-04-18T13:21:38.000000Z
280,الرحيم,3,1,voices/ee6dec4974beafff84e33cceb79a15ab.mp3,images/Q0ASh7NuLhm6kfE8GOFS8QlAOyMqa3G4jtQHzezo.jpg,images/gdgoj8gDSg7LpN6iscGMLirNz2vdQOT3PBKm55hk.svg,#6f5548,16,2024-10-26T17:04:44.000000Z,2026-04-18T13:23:09.000000Z
281,الملك,4,1,voices/06fd76b37db9834960e5c51293abe490.mp3,images/yUFF0nlHoR9lXUUBzlsuK0uBgZdzU4QaYjvZBb3D.jpg,images/eiSFjUi2mtkGGIPyhRRu7Q9RVjjxApZUbxmSEc79.svg,#2e2f44,17,2024-10-26T17:04:44.000000Z,2026-04-18T13:25:29.000000Z
282,القدوس,5,1,voices/ca7af666c254ffca065a0642bffe336f.mp3,images/IJ892odVmUyKvLvWKEzRf6OPRu1napO3hcMdRkK3.jpg,images/yA9JeLChfpDj7qtEvd2dyiAbRg5cXlxwBuECfDRk.svg,#1c3d50,18,2024-10-26T17:04:44.000000Z,2026-04-18T13:26:29.000000Z
283,السلام,6,1,voices/4ba956c7fe30bb4677aeb45e41848348.mp3,images/DZVdTe7KeXpUv1UtrNiU5fhcVU6Leql2xEz8Rrk9.jpg,images/huiv1VdWuSHqopVQFNhShEXePF5Ss3Cq5HjfnlbF.svg,#323a2c,19,2024-10-26T17:04:44.000000Z,2026-04-18T13:52:57.000000Z
284,المهيمن,8,1,voices/8bc2de7ac4faec56c9399b3115cbf464.mp3,images/k628OSu8bvX1whuZvw9eWariozUIQsDJEwp1hcbZ.jpg,images/EKl4dhT6yLwRqrVzelyNSNcqZphaXAPy3xraKff6.svg,#333333,20,2024-10-26T17:04:44.000000Z,2026-04-20T10:20:52.000000Z
285,العزيز,9,1,voices/bfad6f2dc56ad2e7fb618eca2f5a99a8.mp3,images/AyT535UnjZ1Rf4vEI6sn62WA1HlLqcTOYDhdkqCm.jpg,images/Fr11AyAaFzGSxc4HWMMkcmHg8SQ5HrB8WMYa5jw0.svg,#4e3626,21,2024-10-26T17:04:44.000000Z,2026-04-20T10:22:05.000000Z
286,الجبار,10,1,voices/ff1a018864611df255886417436a14ec.mp3,images/zmyqWDliCwhXMeqNHc9UvetCB8aGGkJSy0P7PUDW.jpg,images/xu0z6DabqOepsNdu9qAhQd7TrrAAh5zzV5Ru5nJf.svg,#222222,22,2024-10-26T17:04:44.000000Z,2026-04-18T13:53:49.000000Z
287,المتكبر,11,1,voices/7ee6be3e701e10af4572e0c6adb2a1f9.mp3,images/q0wNQImfitxs3Z3bd41cu7CgaOsXdwQGLjfbDr5N.jpg,images/xVC4hO3Am5PL8QBcliLxmHkVEK11kL8ZgxtLy3bz.svg,#25201a,23,2024-10-26T17:04:44.000000Z,2026-04-20T10:22:43.000000Z
288,الخالق,12,1,voices/9616e3a40d1b109fb5d0dfab2c1deca3.mp3,images/g2UdPv1ucw4UIfhMx36lUto0JWw5UFDbfArgWDsf.jpg,images/xVvEexnjctxzUvz3NGB6vKkiUBPKWq1uoH4FdIMU.svg,#102f38,24,2024-10-26T17:04:44.000000Z,2026-04-18T13:35:54.000000Z
289,القهار,16,1,voices/10afbe826f0610e45b7805dcbe9dfbc8.mp3,images/sQiOzFkg0NoT1wl9UIETuvEXQjZzD5U9d5brmvWD.jpg,images/KJyrXITYZXxMi0srj5gYwo7LSAkpup14E63emyBD.svg,#02191E,25,2024-10-26T17:04:44.000000Z,2026-04-20T10:24:50.000000Z
290,الوهاب,17,1,voices/bc3ef8132e8731cf8a4932a11f8aaa32.mp3,images/rBj234ojRWzEWh0J7mOD4aI4okAcOnGZ8YQi1y4S.jpg,images/D7h06manmur4qBS3Ar4BhIokUub6xJJHxceFw0wV.svg,#29362C,26,2024-10-26T17:04:44.000000Z,2026-04-18T13:41:56.000000Z
291,الرزاق,18,1,voices/c2ebf4a8071eb466b322565d469e4432.mp3,images/ff8hc2LJBZ31spoaT407gcAGBhmrMpxixInF6PRt.jpg,images/4vNSALKjKuERmzpFX0h91GLji6Qz2eabUcWjevDy.svg,#282828,27,2024-10-26T17:04:44.000000Z,2026-04-18T13:42:37.000000Z
292,العليم,20,1,voices/841855131c6457be20766d10f7e2c8db.mp3,images/6saJhrdGbUwWau4duVlo7NTXFzuY3b1jKFBNWXml.jpg,images/qSebzpH4kNtnBPgqS4z3Vw3eVsDtGKho8rvEJnAk.svg,#053b53,28,2024-10-26T17:04:44.000000Z,2026-04-19T11:00:24.000000Z
293,السميع,27,1,voices/255c696c19c53faaa5a9c8dfe3cb19c7.mp3,images/WNq8HpbjKx19CyAkpL1tcLHwZHfZjZag7WinmeW5.jpg,images/vxrLeH7wJwNFfEMxhWw6tzWbqYsoa2XxZEaLJFR2.svg,#0a0e13,29,2024-10-26T17:04:44.000000Z,2026-01-03T09:35:53.000000Z
294,اللطيف,31,1,voices/14a73ad963d8d17a20020364ca1274a3.mp3,images/rC84nSxJkFbhM5MwsLK2oUacKM0TqKFhItDsSpV0.jpg,images/a9hOamvsKkDrO9hypytHBY7zPCM1E8JS8PULRTRG.svg,#171D11,30,2024-10-26T17:04:44.000000Z,2026-04-20T11:07:45.000000Z
295,الخبير,32,1,voices/18cf9d20f6b8156261fb87a607501f58.mp3,images/x8ij2AuCgXivKievptMy4IUDXBrAN5yhdscdsVXm.jpg,images/RD4DS6h8QjC8DFRjQJ0En8TzVI25LTMgRNCvVglo.svg,#2a231b,31,2024-10-26T17:04:44.000000Z,2026-04-20T11:08:10.000000Z
296,الحليم,33,1,voices/d0b357da192924ed84fb4df8e6cf60b8.mp3,images/XrwN3hmmdOprFmfy0b99btALEARAZOsDgLC5g3U0.jpg,images/V2tYk6RvATjSKXahmYc2uPie7yKWjzlIkqRKNL2x.svg,#152225,32,2024-10-26T17:04:44.000000Z,2026-04-18T14:00:37.000000Z
297,العظيم,34,1,voices/24e226576615f4119381dfb163e15dfe.mp3,images/4mamIESf8BNbLzhdAOonp1HvEMa7nQXrgF7eAetb.jpg,images/UbsaoJfiVYrc0MGGjL48OXvkPNSM2iV3HaIh5fc7.svg,#25181e,33,2024-10-26T17:04:44.000000Z,2026-04-20T10:33:23.000000Z
298,الغفور,35,1,voices/26da533ffc80650543e0b59bc80dca9d.mp3,images/5vzc7nE7YBcMrbs5xMahoJ9Oq8wYaFMvXkWKrndR.jpg,images/fngux1xfwvlyHeQ6sRByLFUOFbZNgl17i5hLYLcO.svg,#162022,34,2024-10-26T17:04:44.000000Z,2026-04-18T14:02:47.000000Z
299,الشكور,36,1,voices/c2d775ed8057721b18a3eaaa22375cd9.mp3,images/m91N16McKf2sLao9RSJa9N06ZE8UnAQjAMAX5i0Z.jpg,images/mepU981II5xkRAt9x0AqTc3x7Caz6OPM3i8zM5EF.svg,#182115,35,2024-10-26T17:04:44.000000Z,2026-04-18T14:04:02.000000Z
300,الكبير,38,1,voices/5340219bb3011abcea2c89abb6b21c70.mp3,images/V9c66asJtIaqJMbceQiSHDTfRpLcfzcJFx9AcIlt.jpg,images/Pdhg6a6C1dZgFbhJdFnAsS4R19yxTNxPRNehG4z4.svg,#171713,36,2024-10-26T17:04:44.000000Z,2026-04-20T10:34:08.000000Z
301,الحفيظ,39,1,voices/d8db85a75604d26e1839630ee3bca3cc.mp3,images/askuWwzZHgUn6luzuP1IUcS0EdktHstiBGjNIWqx.jpg,images/SIikm95CIeZprmHq0GKxsscsv6k2MS8fx3ucu2NO.svg,#1C1A11,37,2024-10-26T17:04:44.000000Z,2026-04-18T16:05:21.000000Z
302,المقيت,40,1,voices/a355284626aa9950c83485c36eb29d76.mp3,images/PqSypQcP3ntXP5FYfMiaDLqQFUPWBtlwD8pgckfM.jpg,images/okmW7CUD6ByIrvYqzctmtAYozy1MVZrgCe4wxjkA.svg,#251822,38,2024-10-26T17:04:44.000000Z,2026-04-20T10:34:30.000000Z
303,الكريم,43,1,voices/eb78a0f52df2d9412a96c81b846cd145.mp3,images/k5sK38mnprUWjiYA1JBTr2BHGEItIekdqVEZ1eWT.jpg,images/TQSzg48cdv0qULIoruYCl67Od2al8va3YLI8DVMn.svg,#3A241A,39,2024-10-26T17:04:44.000000Z,2026-04-20T10:35:12.000000Z
304,الرقيب,44,1,voices/fc6a2472a0ac20e9dfc6d98710b797c2.mp3,images/enZtMFUILrLrCOP7sMiFrUbwLdz67zPAytZZ5ov2.jpg,images/9B3sWn2UZvCqooTrOBKfRAJmRWPcl48oKUDkYzcu.svg,#0D0D0D,40,2024-10-26T17:04:44.000000Z,2026-04-18T16:07:59.000000Z
305,المجيب,45,1,voices/cd9a4e14b55822b3324fb4502812f151.mp3,images/ZygCjtT0j0ZAf1fms9mMsRqDAtkMhNl1cuykt9Ph.jpg,images/Wt0ig03pXa4dUr7fv2BetdgcdqAL8UnF17XCknZe.svg,#221d1b,41,2024-10-26T17:04:44.000000Z,2026-04-20T10:35:34.000000Z
